Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Chocolate Pen - Target,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5964,6,70.47,251,73,179
Chocolate Pen - Target,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,655,0,7.95,20,6,10
Chocolate Pen - Target,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,30,0,0.31,2,1,2
Chocolate Pen - Target,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,500,0,5.21,15,4,10
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,939,0,12.49,54,13,33
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,7799,7,85.92,270,75,181
Chocolate Pen - Walmart,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,20,0,0.18,0,0,0
Chocolate Pen - Walmart,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,4989,3,49.85,177,46,116
Chocolate Pen - Amazon,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2638,3,31.6,131,30,84
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,207,0,2.01,4,1,2
Chocolate Pen - Amazon,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,11329,17,127.61,415,111,295
